i,date,pm10,station_code,station_name,max_temp,min_temp,mean_temp,min_ground_temp,sum_precipitation,type_precipitation,show_height
0,2001-01-01,18.95,250190390,KRAKÓW-OBSERWATORIUM,1.9,-6.2,-3.8,-11.8,0.0,W,7
1,2001-01-02,,250190390,KRAKÓW-OBSERWATORIUM,2.3,-8.0,-2.6,-11.8,0.2,W,6
2,2001-01-03,60.1,250190390,KRAKÓW-OBSERWATORIUM,1.4,-4.6,-1.2,-6.7,9.6,W,5
3,2001-01-04,33.9,250190390,KRAKÓW-OBSERWATORIUM,7.3,1.4,3.2,-3.3,0.0,W,4
4,2001-01-05,34.849999999999994,250190390,KRAKÓW-OBSERWATORIUM,6.1,-1.3,2.1,-4.5,0.0,W,4
5,2001-01-06,35.35,250190390,KRAKÓW-OBSERWATORIUM,8.8,2.5,4.9,-1.2,0.3,W,3
6,2001-01-07,40.35,250190390,KRAKÓW-OBSERWATORIUM,5.8,3.9,4.5,1.2,1.6,W,0
7,2001-01-08,27.1,250190390,KRAKÓW-OBSERWATORIUM,4.2,3.6,3.8,1.8,23.3,S,0
8,2001-01-09,17.25,250190390,KRAKÓW-OBSERWATORIUM,3.8,0.3,1.7,0.0,3.2,W,5
9,2001-01-10,31.4,250190390,KRAKÓW-OBSERWATORIUM,4.7,-0.4,1.4,-4.2,3.8,S,4
10,2001-01-11,37.400000000000006,250190390,KRAKÓW-OBSERWATORIUM,2.2,-1.3,0.1,-3.4,0.8,S,4
11,2001-01-12,16.85,250190390,KRAKÓW-OBSERWATORIUM,0.8,-3.3,-1.3,-5.0,0.0,W,3
12,2001-01-13,23.9,250190390,KRAKÓW-OBSERWATORIUM,-0.1,-2.6,-1.6,-4.2,0.1,S,3
13,2001-01-14,38.95,250190390,KRAKÓW-OBSERWATORIUM,-1.4,-5.4,-3.7,-6.6,0.0,,3
14,2001-01-15,49.3,250190390,KRAKÓW-OBSERWATORIUM,-0.6,-5.4,-3.1,-7.8,0.0,,3
15,2001-01-16,25.200000000000003,250190390,KRAKÓW-OBSERWATORIUM,-1.1,-3.6,-2.6,-3.6,0.3,S,3
16,2001-01-17,32.95,250190390,KRAKÓW-OBSERWATORIUM,-3.0,-6.8,-5.4,-7.7,0.4,S,3
17,2001-01-18,42.0,250190390,KRAKÓW-OBSERWATORIUM,-4.6,-7.3,-6.1,-8.7,0.9,S,4
18,2001-01-19,53.3,250190390,KRAKÓW-OBSERWATORIUM,-3.6,-8.5,-6.6,-9.6,0.0,,5
